series_name,seasonal_period,baseline_naive_MAE,baseline_naive_RMSE,baseline_naive_SMAPE,baseline_naive_MASE,baseline_snaive_MAE,baseline_snaive_RMSE,baseline_snaive_SMAPE,baseline_snaive_MASE,baseline_theta_MAE,baseline_theta_RMSE,baseline_theta_SMAPE,baseline_theta_MASE,baseline_ets_MAE,baseline_ets_RMSE,baseline_ets_SMAPE,baseline_ets_MASE,catboost_raw_MAE,catboost_raw_RMSE,catboost_raw_SMAPE,catboost_raw_MASE,catboost_log_MAE,catboost_log_RMSE,catboost_log_SMAPE,catboost_log_MASE,catboost_boxcox_MAE,catboost_boxcox_RMSE,catboost_boxcox_SMAPE,catboost_boxcox_MASE,catboost_diff_MAE,catboost_diff_RMSE,catboost_diff_SMAPE,catboost_diff_MASE,feature_cluster,dtw_cluster
D62,1,172.60714285714286,202.21253846951657,2.908437442763475,3.1285044642857147,172.60714285714286,202.21253846951657,2.908437442763475,3.1285044642857147,192.89898079017252,225.573990211004,3.1340466329170855,3.37621697860526,172.60885705707707,202.21444214825573,2.9084658105969936,3.1285355341595222,116.22085215782519,148.13613638074048,1.9678355534863947,2.1065029453605817,108.2497973581194,136.37245586242108,1.8337414114346,1.9620275771159141,114.63872354707311,146.7655689175578,1.9409683383984633,2.0778268642907003,222.57905128494278,265.1110536782878,3.7289680723692245,4.0342453045395885,0,0
D63,1,134.46428571428572,146.5419856949829,2.9296691379124042,5.6571879343375535,134.46428571428572,146.5419856949829,2.9296691379124042,5.6571879343375535,120.47394327153513,132.1053911513984,2.620334029984268,5.069104689708846,130.21429274772385,142.65227469117144,2.8355019305222173,5.478382024621566,105.54773641408708,115.88303080189476,2.291101033817034,4.440609473114366,103.47455523146138,113.23809111468016,2.2454019285100975,4.353386494092511,,,,,101.67305969505826,107.58045333488704,2.2086050719059074,4.27759388672346,2,1
D64,1,95.46428571428571,105.26013693973341,9.220294418103139,4.988273820508668,95.46428571428571,105.26013693973341,9.220294418103139,4.988273820508668,97.2058849470885,107.02737513494016,9.381988590506236,5.0711060609597585,95.82119530947726,105.6201868704726,9.256669923783788,5.006923337201337,148.97245558786085,163.3676464843428,14.847426386921509,7.784224169548396,134.87890837477804,148.1276921377106,13.330143996864443,7.04779722123883,157.7817764256153,171.22771754951003,15.80015045452602,8.244535627206494,93.34013768346414,103.75183775314218,9.006577403380247,4.877281191864857,2,2
D65,1,186.07142857142858,202.69170819603985,5.257643833428828,2.884552289815448,186.07142857142858,202.69170819603985,5.257643833428828,2.884552289815448,128.09774914815128,157.27486783045276,3.533653690756866,1.9187185960365396,187.517628017176,204.02012856089547,5.297224875372538,2.9069718410318197,132.96629895836674,157.8409586682114,3.790915833357552,2.0612957350483647,106.1567756631019,139.80966112541043,3.041183045519728,1.6456839863562207,125.42719292333206,159.42878916612565,3.578905612734546,1.9444215553664872,121.00294008661328,149.58478346371388,3.4552209498716726,1.8758350520604163,2,0
D66,1,52.464285714285715,64.77199019858595,3.554897592800954,2.362955376214932,52.464285714285715,64.77199019858595,3.554897592800954,2.362955376214932,52.21865945034023,64.42871937408069,3.544941563543527,2.356157726516786,52.46345001498714,64.77070107318261,3.554842473329091,2.3629177368927996,21.856602494231034,25.54347353979744,1.4926812108836263,0.9844063569414605,44.75498898612183,56.965422221453856,3.044838546837314,2.015733949245409,28.694343121303632,33.381753019107926,1.96216586731865,1.2923734960329,30.245716307464086,40.05169831382512,2.0741959829521197,1.3622462782664597,0,1
D67,1,256.7142857142857,329.5314855973553,4.6254965480230945,8.190815038284338,256.7142857142857,329.5314855973553,4.6254965480230945,8.190815038284338,292.7361919226676,367.19675764772046,5.24746949256266,9.340142471536968,442.0782847419309,534.7604217838721,7.77041608392622,14.105103082549844,191.95460215027015,276.8708088245806,3.4959926752584627,6.124570113367968,180.19016987821942,268.66858154545315,3.289173347238376,5.749210056943074,,,,,399.0209316202131,483.2409462102174,7.051249820377119,12.731300239919573,2,2
D68,1,106.25,114.1603665275926,1.9437459281554474,2.2537878787878785,106.25,114.1603665275926,1.9437459281554474,2.2537878787878785,66.58061731371215,78.71767699574625,1.2311100618494186,1.4331436377077036,106.8091742402039,114.68097700834487,1.9540908322810322,2.265649150549779,91.09737618186286,103.25668943985598,1.664758003416715,1.9323685856758785,110.15176939153876,121.26113226669753,2.017264288340644,2.3365526840629434,109.79461959507073,122.29711725069255,2.0111986367252923,2.3289767792893787,64.28473712360645,74.54591102443341,1.1674803379224727,1.3636156359552882,2,2
D69,1,115.96428571428571,122.81482867657775,2.8580879102517054,2.179302308344794,115.96428571428571,122.81482867657775,2.8580879102517054,2.179302308344794,132.72586435965786,140.97848734655133,3.2635585105296663,2.494300558093529,115.95778553927578,122.8086910963769,2.8579302707449776,2.1791801513693376,27.409444931716184,30.682492242672605,0.6815493503931274,0.5151022682734464,21.53497196410519,27.17420112403649,0.5358646540478318,0.40470403299119684,31.658508650457048,34.70469728388812,0.787472018391323,0.5949543909637977,138.56348344433627,149.96658259829624,3.4032725768013985,2.6040062029661395,0,3
D70,1,80.85714285714286,92.38757646845319,2.0213198683533182,9.863904545014906,80.85714285714286,92.38757646845319,2.0213198683533182,9.863904545014906,80.32111061071353,91.30609517563506,2.000361402846233,9.760289715121807,79.35849380891834,90.26529312248992,1.984335396991663,9.681081721504041,1942.9558558558526,1985.5728291193275,66.00341432097787,237.02458954307258,2037.9124201212358,2095.6574709772103,70.80033848898417,248.60850721242628,,,,,83.5588883089579,94.93684410615853,2.0879356706301646,10.193495207013884,2,0
D71,1,44.67142857142874,49.64013353268577,1.73860934878406,3.5350964049867257,44.67142857142874,49.64013353268577,1.73860934878406,3.5350964049867257,53.23112574976877,58.914338097508654,2.0366694429453074,4.148978771145516,44.883507688164755,49.8551826366323,1.7467750114740535,3.5518793946318277,40.43928239090178,50.019681871952976,1.606957279370351,3.2001833469850824,43.0609108096527,51.0608791736755,1.7094234809269422,3.407647256125989,,,,,44.56970929691507,51.17291476646247,1.7343494094033036,3.5270467980421842,2,2
